batch,rep,mode,packets_per_sec,avg_batch
64,1,cpu,1129377,63.9
64,1,gpu,1007685,63.9
64,2,cpu,1208678,64.0
64,2,gpu,1011946,63.8
64,3,cpu,1215554,64.0
64,3,gpu,1024540,63.9
64,4,cpu,1204925,64.0
64,4,gpu,1012211,63.9
64,5,cpu,1206528,64.0
64,5,gpu,1043137,63.8
256,1,cpu,1428215,255.2
256,1,gpu,1285069,230.7
256,2,cpu,1416531,255.5
256,2,gpu,1285763,229.6
256,3,cpu,1416833,253.5
256,3,gpu,1284701,229.1
256,4,cpu,1427031,254.3
256,4,gpu,1282082,228.9
256,5,cpu,1427139,255.4
256,5,gpu,1279627,235.8
1024,1,cpu,1444982,486.9
1024,1,gpu,1373486,489.7
1024,2,cpu,1442934,511.2
1024,2,gpu,1384472,512.3
1024,3,cpu,1453397,500.5
1024,3,gpu,1386005,516.5
1024,4,cpu,1445886,492.6
1024,4,gpu,1380088,496.5
1024,5,cpu,1441734,485.0
1024,5,gpu,1377769,480.3
4096,1,cpu,1456449,613.5
4096,1,gpu,1411530,644.3
4096,2,cpu,1462260,701.3
4096,2,gpu,1399708,633.7
4096,3,cpu,1468871,733.1
4096,3,gpu,1402943,625.8
4096,4,cpu,1471743,736.4
4096,4,gpu,1364453,607.5
4096,5,cpu,1465475,702.2
4096,5,gpu,1401589,612.0
