backend,payload_bytes,batch_size,packets_per_sec,megabytes_per_sec,vs_cpu,max_abs_error
cpu,64,1,1820716,116.5,1.00,0
gpu (Apple M5),64,1,4604,0.3,0.00,2.6e-07
cpu,64,16,2302660,147.4,1.00,0
gpu (Apple M5),64,16,73725,4.7,0.03,2.9e-07
cpu,64,64,2275167,145.6,1.00,0
gpu (Apple M5),64,64,292275,18.7,0.13,5.9e-07
cpu,64,256,2277150,145.7,1.00,0
gpu (Apple M5),64,256,1120244,71.7,0.49,5.9e-07
cpu,64,1024,2274815,145.6,1.00,0
gpu (Apple M5),64,1024,4047754,259.1,1.78,5.9e-07
cpu,64,4096,2274394,145.6,1.00,0
gpu (Apple M5),64,4096,9801669,627.3,4.31,5.9e-07
cpu,512,1,1461988,748.5,1.00,0
gpu (Apple M5),512,1,4619,2.4,0.00,1e-06
cpu,512,16,1409558,721.7,1.00,0
gpu (Apple M5),512,16,74093,37.9,0.05,1.1e-06
cpu,512,64,1413429,723.7,1.00,0
gpu (Apple M5),512,64,293054,150.0,0.21,1.2e-06
cpu,512,256,1408668,721.2,1.00,0
gpu (Apple M5),512,256,1120392,573.6,0.80,1.2e-06
cpu,512,1024,1406300,720.0,1.00,0
gpu (Apple M5),512,1024,4314547,2209.0,3.07,1.2e-06
cpu,512,4096,1399065,716.3,1.00,0
gpu (Apple M5),512,4096,6834142,3499.1,4.88,1.2e-06
cpu,1460,1,1184042,1728.7,1.00,0
gpu (Apple M5),1460,1,4593,6.7,0.00,9.8e-07
cpu,1460,16,1157130,1689.4,1.00,0
gpu (Apple M5),1460,16,75071,109.6,0.06,1.2e-06
cpu,1460,64,1174044,1714.1,1.00,0
gpu (Apple M5),1460,64,291013,424.9,0.25,1.3e-06
cpu,1460,256,1175131,1715.7,1.00,0
gpu (Apple M5),1460,256,1363190,1990.3,1.16,1.3e-06
cpu,1460,1024,1164158,1699.7,1.00,0
gpu (Apple M5),1460,1024,2960791,4322.8,2.54,1.3e-06
cpu,1460,4096,1162700,1697.5,1.00,0
gpu (Apple M5),1460,4096,3927712,5734.5,3.38,1.3e-06
