batch,workers,mode,pps_median,pps_min,pps_max,avg_batch
64,3,cpu,2641447,2608251,2674907,64.0
64,3,gpu,1316917,1150582,1518125,64.0
64,4,cpu,3023765,2980807,3038657,64.0
64,4,gpu,2038486,2018633,2143312,64.0
64,6,cpu,2595188,2504921,2624980,64.0
64,6,gpu,2628566,2483315,2645123,64.0
64,9,cpu,2548255,2447670,2551254,64.0
64,9,gpu,2331519,2248165,2349769,64.0
256,3,cpu,2657934,2653011,2666031,255.9
256,3,gpu,2485902,2419812,2709361,255.9
256,4,cpu,3049171,3031501,3058790,255.9
256,4,gpu,3398210,3339952,3482930,255.9
256,6,cpu,3060788,3028954,3070906,255.9
256,6,gpu,3559007,3554774,3566383,255.9
256,9,cpu,3027746,2986104,3032847,254.5
256,9,gpu,3496726,3478962,3499338,254.3
1024,3,cpu,2655974,2645860,2699008,1022.5
1024,3,gpu,4108060,3439859,4160453,1022.5
1024,4,cpu,3271060,3258335,3288183,1022.5
1024,4,gpu,4362187,4311147,4365187,1022.5
1024,6,cpu,3282886,3265926,3335104,978.5
1024,6,gpu,4318785,4228078,4326095,1010.1
1024,9,cpu,3278571,3220353,3318355,900.9
1024,9,gpu,4241982,3924637,4266275,909.1
4096,3,cpu,2654765,2646679,2680671,4065.0
4096,3,gpu,4181864,4057392,4190840,4065.0
4096,4,cpu,3285644,3251122,3304749,4065.0
4096,4,gpu,4484142,4249689,4519371,4065.0
4096,6,cpu,3446756,3337146,3449639,3597.1
4096,6,gpu,4418132,4359215,4448770,3246.8
4096,9,cpu,3582790,3503667,3603693,2193.0
4096,9,gpu,4412388,4345128,4416574,2283.1
